Ticker,Stock_date,Open_Price,Close_Price,Volume,Exchange_ID,Sector_ID,Corporation_ID
ADBE,2022-09-29,277.8,278.25,5155300,2.0,8.0,11.0
ADBE,2022-09-30,279.69,275.2,4576000,2.0,8.0,11.0
ADBE,2022-10-03,278.27,285.24,3738100,2.0,8.0,11.0
ADBE,2022-10-04,290.95,294.97,4509200,2.0,8.0,11.0
ADBE,2022-10-05,291.41,297.38,3469600,2.0,8.0,11.0
ADBE,2022-10-06,297.15,298.41,4884000,2.0,8.0,11.0
ADBE,2022-10-07,291.36,288.77,3495300,2.0,8.0,11.0
ADBE,2022-10-10,289.75,285.72,2906300,2.0,8.0,11.0
ADBE,2022-10-11,285.69,284.83,3209800,2.0,8.0,11.0
ADBE,2022-10-12,284.69,286.15,3044100,2.0,8.0,11.0
ADBE,2022-10-13,279.71,294.74,4737200,2.0,8.0,11.0
ADBE,2022-10-14,295.12,287.94,3563300,2.0,8.0,11.0
ADBE,2022-10-17,297.45,293.5,4600600,2.0,8.0,11.0
ADBE,2022-10-18,302.68,292.98,5472000,2.0,8.0,11.0
ADBE,2022-10-19,295.4,299.83,5529100,2.0,8.0,11.0
ADBE,2022-10-20,301.03,302.38,3621600,2.0,8.0,11.0
ADBE,2022-10-21,300.99,306.37,3656900,2.0,8.0,11.0
ADBE,2022-10-24,308.43,316.22,4817400,2.0,8.0,11.0
ADBE,2022-10-25,319.12,323.79,3814600,2.0,8.0,11.0
ADBE,2022-10-26,318.16,320.48,4207700,2.0,8.0,11.0
ADBE,2022-10-27,322.96,318.65,2870200,2.0,8.0,11.0
ADBE,2022-10-28,318.67,325.68,3005800,2.0,8.0,11.0
AMD,2022-09-29,67.15,64.14,102552400,2.0,8.0,12.0
AMD,2022-09-30,63.62,63.36,81618800,2.0,8.0,12.0
AMD,2022-10-03,64.46,66.11,83841600,2.0,8.0,12.0
AMD,2022-10-04,68.27,67.9,77160500,2.0,8.0,12.0
AMD,2022-10-05,66.59,67.94,87127400,2.0,8.0,12.0
