Exchange_ID,Country,Currency,Exchange_Name
1,USA,Dollar,NYSE
2,USA,Dollar,NASDAQ
3,Japan,Yen,TSE
4,United Kingdom,Pound,LSE
5,China,Yuan,Hong Kong Stock Exchange
6,China,Yuan,Shanghai Stock Exchange
